Дата;Издание;Тип издания;Тема;Тональность;Охват;Запрос СМИ;Журналист;Телефон журналиста;Дата запроса;Дата ответа;Время ответа, ч;Ответственный;Комментарий
27.08.2025;Телеканал 24/7;ТВ;кадры и работодатель;позитивная;467999;нет;;;;;;Зайцева Дарья Павловна;Позитивный отклик, доп. комментариев не требуется
16.07.2025;Телеканал 24/7;ТВ;регуляторика;негативная;627529;да;Яковлева Ольга Олеговна;+7 (925) 694-51-91;16.07.2025;16.07.2025;12,8;Воробьёв Олег Викторович;Направлен комментарий юр. службы
25.02.2026;Кадровый обозреватель;деловые СМИ;корпоративные новости;позитивная;665119;да;Лебедева Анна Николаевна;+7 (951) 374-86-32;25.02.2026;25.02.2026;4,2;Зайцева Дарья Павловна;Материал вышел без правок
22.09.2025;Социальная лента;соцсети;доступность и цены;негативная;154977;нет;;;;;;Лебедева Валентина Владимировна;Взято на контроль
28.05.2025;Здоровье сегодня;отраслевой портал;корпоративные новости;негативная;382527;да;Зайцева Светлана Дмитриевна;+7 (999) 998-60-06;28.05.2025;28.05.2025;5,4;Морозов Виктор Сергеевич;Требуется мониторинг реакции
15.12.2025;Телеканал 24/7;ТВ;наука;нейтральная;343097;да;Соловьёва Людмила Ивановна;+7 (901) 857-74-33;15.12.2025;15.12.2025;12,3;Лебедева Валентина Владимировна;
24.05.2025;Медпортал.Про;отраслевой портал;клинические исследования;нейтральная;40439;нет;;;;;;Зайцева Дарья Павловна;По итогам пресс-релиза
27.06.2025;Социальная лента;соцсети;наука;негативная;562752;нет;;;;;;Зайцева Дарья Павловна;Взято на контроль
10.04.2025;Деловой курьер;деловые СМИ;клинические исследования;позитивная;152355;да;Романов Дмитрий Романович;+7 (949) 115-93-62;10.04.2025;11.04.2025;37,3;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
09.02.2026;Столичный бизнес;деловые СМИ;корпоративные новости;нейтральная;44605;нет;;;;;;Воробьёв Олег Викторович;
27.12.2025;Телеканал 24/7;ТВ;социальные проекты;позитивная;577630;да;Егорова Дарья Денисовна;+7 (999) 627-40-14;27.12.2025;28.12.2025;29,4;Лебедева Валентина Владимировна;Позитивный отклик, доп. комментариев не требуется
01.05.2025;Социальная лента;соцсети;наука;позитивная;61898;нет;;;;;;Лебедева Валентина Владимировна;Материал вышел без правок
23.05.2025;Кадровый обозреватель;деловые СМИ;регуляторика;нейтральная;514720;нет;;;;;;Лебедева Валентина Владимировна;
25.09.2025;Деловой курьер;деловые СМИ;доступность и цены;негативная;415249;нет;;;;;;Воробьёв Олег Викторович;Взято на контроль
24.09.2025;ФармВестник-Онлайн;отраслевой портал;доступность и цены;негативная;589676;да;Козлова Оксана Романовна;+7 (931) 786-56-76;24.09.2025;24.09.2025;10,3;Морозов Виктор Сергеевич;Обсуждалось с руководством
