Дата;Месяц;Регион;Город;Канал;Клиент;Категория;Препарат;Упаковок;Цена за упаковку, ₽;Скидка, %;Сумма, ₽;Возвраты, упак.;Менеджер;Телефон менеджера;E-mail менеджера
01.01.2025;01.2025;Москва;Москва;Дистрибьютор;Фарма-Логистик;Респираторные;Респиролан;1327;1890;21,6;1966296;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
01.01.2025;01.2025;Юг;Краснодар;Аптечная сеть;ФармаПлюс;Кардиология;Кардистан;127;2150;7,5;252571;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
02.01.2025;01.2025;Сибирь;Омск;Аптечная сеть;ФармаПлюс;Кардиология;Кардистан;77;2150;7,9;152472;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
03.01.2025;01.2025;Поволжье;Уфа;Аптечная сеть;Аптека у дома;Безрецептурные;Гастролюкс;82;620;6,4;47586;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
04.01.2025;01.2025;Москва;Москва;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Ветапрол;41;1450;5,2;56359;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
04.01.2025;01.2025;Сибирь;Новосибирск;Онлайн-аптека;е-Аптека;Диабет;Инсулакс;75;4320;6,4;303264;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
05.01.2025;01.2025;Поволжье;Казань;Аптечная сеть;Аптека Здравница;Кардиология;Кардистан;41;2150;7,4;81627;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
05.01.2025;01.2025;Поволжье;Уфа;Госпитальный сегмент;Региональный онкоцентр;Онкология;Онкотрел;14;38900;13,3;472168;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
05.01.2025;01.2025;Юг;Волгоград;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Ветапрол;36;1450;5,6;49277;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
07.01.2025;01.2025;Москва;Москва;Госпитальный сегмент;Городская больница № 12;Онкология;Онкотрел;23;38900;14,2;767653;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
07.01.2025;01.2025;Санкт-Петербург;Санкт-Петербург;Онлайн-аптека;АптекаМаркет;Диабет;Глюкорин;75;2680;3,2;194568;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
07.01.2025;01.2025;Урал;Пермь;Дистрибьютор;Сибирский фармсклад;Кардиология;Тензолар;628;980;7,8;567436;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
08.01.2025;01.2025;Юг;Волгоград;Аптечная сеть;Зелёная аптека;Респираторные;Пульмостат;356;1240;7,1;410098;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
